Date,Open,High,Low,Close,Adj Close,Volume
1987-10-01,170.820007,172.619995,105.459999,118.260002,118.260002,6094500000
1987-11-01,118.269997,122.050003,110.559998,111.699997,111.699997,3589520000
1987-12-01,111.690002,121.589996,106.160004,120.419998,120.419998,3926750000
1988-01-01,120.430000,128.190002,120.430000,125.239998,125.239998,3494700000
1988-02-01,125.239998,137.690002,124.940002,136.100006,136.100006,3693240000
1988-03-01,136.100006,143.380005,136.070007,142.149994,142.149994,4052970000
1988-04-01,142.139999,145.460007,139.570007,145.009995,145.009995,3260760000
1988-05-01,145.009995,145.529999,136.289993,141.369995,141.369995,3231370000
1988-06-01,141.369995,151.300003,141.369995,151.300003,151.300003,4306710000
1988-07-01,151.289993,151.699997,148.410004,149.889999,149.889999,3338470000
1988-08-01,149.880005,150.880005,143.800003,145.740005,145.740005,3327470000
1988-09-01,145.740005,149.089996,144.289993,149.089996,149.089996,3059450000
1988-10-01,149.089996,149.190002,146.509995,147.250000,147.250000,3415150000
1988-11-01,147.259995,147.279999,139.490005,142.009995,142.009995,2822820000
1988-12-01,142.020004,147.369995,141.929993,147.369995,147.369995,2844900000
1989-01-01,147.360001,153.850006,146.330002,153.850006,153.850006,3532220000
1989-02-01,153.839996,157.270004,153.619995,154.559998,154.559998,3216280000
1989-03-01,154.559998,159.279999,154.559998,157.899994,157.899994,3504530000
1989-04-01,157.889999,164.690002,157.740005,164.679993,164.679993,3237250000
1989-05-01,164.679993,171.529999,163.929993,171.529999,171.529999,3747320000
1989-06-01,171.529999,173.500000,166.110001,167.419998,167.419998,3966590000
1989-07-01,167.440002,174.500000,167.160004,174.500000,174.500000,3249030000
1989-08-01,174.509995,178.199997,173.869995,178.199997,178.199997,3949100000
1989-09-01,178.210007,179.470001,175.690002,178.210007,178.210007,3035020000
1989-10-01,178.210007,180.949997,165.610001,167.470001,167.470001,4012670000
1989-11-01,167.460007,169.990005,165.270004,168.169998,168.169998,3032160000
1989-12-01,168.190002,169.059998,162.500000,168.309998,168.309998,3213420000
1990-01-01,168.309998,170.800003,152.440002,153.270004,153.270004,3793250000
1990-02-01,153.270004,160.350006,153.270004,157.720001,157.720001,2961970000
1990-03-01,157.710007,164.839996,157.389999,163.630005,163.630005,3283280000
1990-04-01,163.630005,163.669998,157.410004,158.089996,158.089996,2801220000
1990-05-01,158.089996,169.110001,158.089996,168.910004,168.910004,3596680000
1990-06-01,168.910004,171.080002,166.529999,169.119995,169.119995,3226280000
1990-07-01,169.119995,170.470001,161.220001,161.509995,161.509995,3370320000
1990-08-01,161.500000,161.649994,132.740005,139.509995,139.509995,4014260000
1990-09-01,139.500000,141.020004,124.449997,126.699997,126.699997,2685400000
1990-10-01,126.739998,129.960007,118.510002,118.830002,118.830002,3670600000
1990-11-01,118.849998,127.519997,118.449997,127.510002,127.510002,3148240000
1990-12-01,127.500000,132.770004,127.500000,132.199997,132.199997,3116710000
1991-01-01,132.190002,144.169998,124.519997,144.169998,144.169998,3659100000
1991-02-01,144.149994,160.009995,144.089996,160.000000,160.000000,4297640000
1991-03-01,160.000000,171.009995,159.320007,171.009995,171.009995,3926860000
1991-04-01,171.020004,178.789993,169.710007,170.610001,170.610001,4015890000
1991-05-01,170.589996,178.339996,169.190002,178.339996,178.339996,3747420000
1991-06-01,178.330002,178.940002,166.660004,167.610001,167.610001,3243080000
1991-07-01,167.619995,172.970001,166.179993,172.759995,172.759995,3466100000
1991-08-01,172.759995,179.110001,166.490005,179.110001,179.110001,3749110000
1991-09-01,179.089996,180.160004,175.289993,180.160004,180.160004,3241630000
1991-10-01,180.149994,185.000000,175.610001,185.000000,185.000000,4066550000
1991-11-01,184.970001,188.339996,174.889999,176.369995,176.369995,3718510000
1991-12-01,176.369995,189.940002,174.429993,189.940002,189.940002,4148300000
1992-01-01,189.949997,206.009995,187.919998,205.160004,205.160004,5245110000
1992-02-01,205.160004,213.000000,205.160004,211.149994,211.149994,4243890000
1992-03-01,211.169998,212.259995,202.320007,203.699997,203.699997,4047510000
1992-04-01,203.699997,203.699997,191.059998,196.259995,196.259995,4302390000
1992-05-01,196.270004,200.839996,190.850006,198.520004,198.520004,3626650000
1992-06-01,198.520004,200.210007,185.729996,188.580002,188.580002,4209090000
1992-07-01,188.570007,194.750000,185.320007,194.740005,194.740005,4250080000
1992-08-01,194.729996,195.860001,186.009995,188.789993,188.789993,3642730000
1992-09-01,188.820007,194.729996,188.529999,192.910004,192.910004,3996530000
1992-10-01,192.910004,198.910004,183.399994,198.910004,198.910004,4470560000
1992-11-01,198.910004,213.809998,198.600006,213.809998,213.809998,4133760000
1992-12-01,213.809998,221.009995,212.559998,221.009995,221.009995,4829060000
1993-01-01,221.020004,230.690002,219.199997,228.100006,228.100006,5252750000
1993-02-01,228.089996,232.449997,216.429993,222.410004,222.410004,5357080000
1993-03-01,222.410004,230.800003,222.250000,229.210007,229.210007,5663860000
1993-04-01,229.210007,229.289993,218.399994,222.679993,222.679993,5781330000
1993-05-01,222.679993,232.929993,222.369995,232.190002,232.190002,5097190000
1993-06-01,232.190002,234.330002,226.520004,233.350006,233.350006,5528060000
1993-07-01,233.350006,237.910004,233.020004,236.460007,236.460007,5291510000
